date,open,close,high,low,volume,code
2000-01-04,10.21,10.39,10.45,10.12,2903.24,000422
2000-01-05,10.42,10.42,10.69,10.26,4162.6,000422
2000-01-06,10.28,10.79,10.8,10.28,5015.44,000422
2000-01-07,10.98,11.31,11.35,10.98,14651.3,000422
2000-01-10,11.48,11.44,11.49,11.06,12622.1,000422
2000-01-11,11.48,10.9,11.49,10.8,9542.39,000422
2000-01-12,10.71,10.45,10.97,10.41,6049.88,000422
2000-01-13,10.45,10.4,10.64,10.32,2729.49,000422
2000-01-14,10.4,10.28,10.58,10.22,2647.28,000422
2000-01-17,10.2,10.45,10.5,10.16,3531.36,000422
2000-01-18,10.45,10.59,10.75,10.4,3538.17,000422
2000-01-19,10.74,11.65,11.65,10.65,10145.86,000422
2000-01-20,11.85,11.75,11.94,11.3,26618.09,000422
2000-01-21,11.75,11.36,11.75,11.35,10560.02,000422
2000-01-24,11.19,11.35,11.66,11.0,9089.98,000422
2000-01-25,11.41,11.32,11.59,11.18,7492.91,000422
2000-01-26,11.32,11.4,11.65,11.25,6546.74,000422
2000-01-27,11.65,11.26,11.65,11.21,7866.42,000422
2000-01-28,11.2,11.12,11.4,10.9,10866.69,000422
2000-02-14,11.3,12.18,12.22,11.28,22666.11,000422
2000-02-15,12.2,11.53,12.3,11.48,25289.66,000422
2000-02-16,11.5,11.2,11.5,11.01,22254.99,000422
2000-02-17,11.0,10.72,11.0,10.55,21764.03,000422
2000-02-18,10.72,11.02,11.43,10.7,22090.49,000422
2000-02-21,11.0,11.4,11.56,10.5,24551.23,000422
2000-02-22,11.38,11.53,12.09,11.35,42955.88,000422
2000-02-23,11.5,11.2,11.7,11.16,13320.88,000422
2000-02-24,11.22,11.62,11.75,11.22,13767.96,000422
2000-02-25,11.66,11.44,11.8,11.3,10461.77,000422
2000-02-28,11.43,11.67,11.75,11.31,18151.87,000422
2000-02-29,11.8,12.12,12.4,11.5,45839.42,000422
2000-03-01,12.15,11.83,12.15,11.75,17091.09,000422
2000-03-02,11.7,11.77,12.05,11.6,14377.75,000422
2000-03-03,11.77,11.89,12.1,11.7,20192.19,000422
2000-03-06,12.01,11.86,12.49,11.85,30495.24,000422
2000-03-07,11.62,11.64,11.81,11.4,12294.08,000422
2000-03-08,11.7,11.64,11.8,11.42,7882.94,000422
2000-03-09,11.62,11.47,11.7,11.38,11194.95,000422
2000-03-10,11.5,11.28,11.55,11.2,10581.67,000422
2000-03-13,11.3,11.49,11.5,11.28,6455.36,000422
2000-03-14,11.5,11.13,11.55,10.92,10704.91,000422
2000-03-15,11.1,11.23,11.4,11.1,5977.87,000422
2000-03-16,11.2,10.68,11.2,10.58,7792.17,000422
2000-03-17,10.51,10.99,11.09,10.5,20654.01,000422
2000-03-20,10.78,11.16,11.28,10.71,13748.34,000422
2000-03-21,11.18,11.44,11.45,11.06,10216.77,000422
2000-03-22,11.45,11.36,11.55,11.2,7114.87,000422
2000-03-23,11.36,11.34,11.38,11.16,9796.08,000422
2000-03-24,11.37,11.21,11.63,11.2,11128.85,000422
2000-03-27,11.18,11.5,11.53,11.09,13929.3,000422
2000-03-28,11.55,11.93,11.98,11.5,23838.06,000422
2000-03-29,12.0,11.66,12.03,11.51,12583.28,000422
2000-03-30,11.69,11.81,11.9,11.66,13166.79,000422
2000-03-31,11.86,12.02,12.28,11.67,32399.44,000422
2000-04-03,12.18,12.31,12.7,12.12,43453.36,000422
2000-04-04,12.28,11.79,12.28,11.7,17719.85,000422
2000-04-05,11.79,12.37,12.45,11.71,23045.89,000422
2000-04-06,12.38,12.49,12.62,12.28,29709.97,000422
2000-04-07,12.55,12.39,12.6,12.26,18798.48,000422
2000-04-10,12.4,12.34,12.6,12.3,16168.96,000422
2000-04-11,12.31,12.06,12.39,12.0,16398.5,000422
2000-04-12,12.05,11.99,12.2,11.81,10979.57,000422
2000-04-13,12.0,12.19,12.29,11.9,10826.66,000422
2000-04-14,12.38,12.1,12.4,12.01,9939.54,000422
2000-04-17,12.08,11.83,12.09,11.7,12341.79,000422
2000-04-18,11.8,12.0,12.04,11.73,6258.98,000422
2000-04-19,12.0,12.09,12.2,11.9,8519.07,000422
2000-04-20,12.07,12.39,12.4,12.04,16559.67,000422
2000-04-21,12.42,12.12,12.49,12.1,11715.54,000422
